고정형CCTV지번주소,위도,경도,자치구,단속지점명,현장구분
광진구 중곡동 18-136,37.56520988,127.0880584,광진구,용곡초 무지개계단 앞 ,불법주정차구역
광진구 자양동 249-5,37.53905684,127.0625567,광진구,롯데캐슬 시그니처 ,불법주정차구역
광진구 구의동 72-13,37.54802494,127.0903853,광진구,광진초등학교 앞 ,불법주정차구역
광진구 광장동 571-1,37.54102003,127.0966375,광진구,올림픽대교북단사거리,불법주정차구역
광진구 자양동 2-2,37.53912385,127.0696836,광진구,건대입구 자이엘라 앞 ,불법주정차구역
광진구 중곡동 166-19,37.56507447,127.0832086,광진구,중광초 정문 앞,불법주정차구역
광진구 광장동 577-3,37.54442528,127.1001957,광진구,광장동 실내배드민턴장 앞 ,불법주정차구역
광진구 자양동 599-35,37.53039301,127.0761956,광진구,신자초 정문 앞 ,불법주정차구역
광진구 중곡동 220-47,37.565139,127.0817603,광진구,중광초 후문 앞,불법주정차구역
광진구 구의동 637-5,37.54355401,127.0827462,광진구,구의초 통학로 주변 ,불법주정차구역
광진구 화양동 111-139,37.54662751,127.0721547,광진구,느티나무공원 앞 ,불법주정차구역
광진구 자양동 527,37.53607576,127.0738507,광진구,효지어린이집 앞 ,불법주정차구역
광진구 중곡동 142-24,37.5574334,127.081244,광진구,으뜸부동산 앞 ,불법주정차구역
광진구 자양동 595-31,37.52996244,127.0784952,광진구,자양한강도서관 앞 ,불법주정차구역
광진구 자양동 553-314,37.53226701,127.0700746,광진구,이튼타워5차아파트 앞 ,불법주정차구역
광진구 능동 253-28,37.55260303,127.0861267,광진구,능동로32길 보행로 ,불법주정차구역
광진구 중곡동 128-43,37.55815174,127.0852424,광진구,용마초 후문 인근 ,불법주정차구역
광진구 중곡동 253-9,37.56253468,127.0769241,광진구,중곡1동 마을마당 앞 ,불법주정차구역
광진구 중곡동 638-5,37.55877776,127.0771092,광진구,문가네정육식당 앞 ,불법주정차구역
광진구 구의동 587-95,37.53709659,127.0922888,광진구,구남초등학교 정문 앞 ,불법주정차구역
광진구 구의동 199-22,37.53923872,127.0951299,광진구,구의3동 어린이집 인근 ,불법주정차구역
광진구 구의동 240-25,37.54134747,127.0886955,광진구,신나는 어린이집 앞 ,불법주정차구역
광진구 자양동 580-8,37.53384738,127.0750289,광진구,자양중 정문 앞 ,불법주정차구역
광진구 구의동 614-6,37.54898971,127.0881347,광진구,경복초 통학로 ,불법주정차구역
광진구 자양동 652-38,37.53084581,127.0824299,광진구,성자초등학교 인근 ,불법주정차구역
광진구 중곡동 138-5,37.5578136,127.0832216,광진구,용마초등학교 앞,불법주정차구역
광진구 중곡동 175-27,37.56860977,127.082601,광진구,혜원약국 앞 ,불법주정차구역
특별시 광진구 자양동 774-14,37.55823799,127.0914744,광진구,자양동 래미안프리미어팰리스 입구,불법주정차구역
광진구 중곡동 138-10,37.55745549,127.0826572,광진구,세븐일레븐 앞 ,불법주정차구역
광진구 자양동 504,37.53468209,127.0699953,광진구,신양초교 앞 사거리 ,불법주정차구역
광진구 중곡동 193-23,37.56635993,127.0820298,광진구,코코핑크 앞 ,불법주정차구역
광진구 구의동 4-17,37.55053668,127.0979174,광진구,동의초 주변 ,불법주정차구역
광진구 광장동 322-6,37.54720014,127.1076063,광진구,장순루식당 주변,불법주정차구역
광진구 구의동 205-3,37.54229893,127.0934769,광진구,팀스쿡 앞 사거리 ,불법주정차구역
광진구 자양동 606-45,37.53158313,127.0792197,광진구,국민은행 자양동지점 인근 ,불법주정차구역
광진구 구의동 61-38,37.54666304,127.0908991,광진구,래미안스위트파크 103동 옆,불법주정차구역
광진구 자양동 554-6,37.53411782,127.0690443,광진구,신양초등학교 정문 앞 ,불법주정차구역
광진구 자양동 553-632,37.53385815,127.0716162,광진구,동자초등학교 앞 ,불법주정차구역
광진구 중곡동 41-20,37.56203246,127.0824001,광진구,용마사거리 주변,불법주정차구역
광진구 자양동 600-15,37.53072728,127.0752059,광진구,신자초등학교 후문 주변,불법주정차구역
광진구 구의동 59-39,37.54825316,127.0929378,광진구,아차산포레안아파트 정문 ,불법주정차구역
광진구 광장동 413-13,37.54294912,127.0985478,광진구,어광수의원 주변,불법주정차구역
광진구 중곡동 191-69,37.56611507,127.0800237,광진구,중마초등학교 정문 앞 ,불법주정차구역
광진구 구의동 243-4,37.53782997,127.0879704,광진구,구의역2번출구 버스정류장 앞 ,불법주정차구역
광진구 광장동 554,37.54096753,127.1007042,광진구,광남초등학교 정문 앞 ,불법주정차구역
광진구 광장동 561,37.5414038,127.1030976,광진구,광남고 뒷편 토끼굴 입구 ,불법주정차구역
광진구 광장동 394-23,37.54771716,127.1017882,광진구,광장초등학교 정문 인근 ,불법주정차구역
광진구 능동 233-10,37.55401363,127.0819461,광진구,능동어린이집 입구 ,불법주정차구역
광진구 자양동 629-40,37.53361999,127.0828191,광진구,봄뜰어린이집 앞 ,불법주정차구역
